driver_id,name,asset_class,geography,tenor,sector,issuer,curve_point
DRV-0000183,Credit_Tech_APAC_30Y_0000182,Credit,APAC,30Y,Tech,Issuer-04848,Long
DRV-0000184,FX_Financials_US_2Y_0000183,FX,US,2Y,Financials,Issuer-00848,Long
DRV-0000185,Rates_Financials_US_5Y_0000184,Rates,US,5Y,Financials,Issuer-02011,Front
DRV-0000186,Equities_Industrials_EMEA_6M_0000185,Equities,EMEA,6M,Industrials,Issuer-03122,Long
DRV-0000187,Credit_Financials_US_1M_0000186,Credit,US,1M,Financials,Issuer-04539,Long
DRV-0000188,Commodities_Financials_US_10Y_0000187,Commodities,US,10Y,Financials,Issuer-02261,Front
DRV-0000189,Credit_Utilities_EMEA_3M_0000188,Credit,EMEA,3M,Utilities,Issuer-01003,Front
DRV-0000190,Credit_Energy_LATAM_3M_0000189,Credit,LATAM,3M,Energy,Issuer-01179,Front
DRV-0000191,FX_Energy_APAC_20Y_0000190,FX,APAC,20Y,Energy,Issuer-03606,Long
DRV-0000192,Volatility_Financials_APAC_3Y_0000191,Volatility,APAC,3Y,Financials,Issuer-00054,Belly
DRV-0000193,FX_Utilities_US_5Y_0000192,FX,US,5Y,Utilities,Issuer-04045,Front
DRV-0000194,Volatility_Energy_EMEA_30Y_0000193,Volatility,EMEA,30Y,Energy,Issuer-02637,Belly
DRV-0000195,Commodities_Tech_US_5Y_0000194,Commodities,US,5Y,Tech,Issuer-00091,Front
DRV-0000196,FX_Tech_LATAM_30Y_0000195,FX,LATAM,30Y,Tech,Issuer-00252,Front
DRV-0000197,Credit_Financials_LATAM_5Y_0000196,Credit,LATAM,5Y,Financials,Issuer-01600,Belly
DRV-0000198,Commodities_Utilities_APAC_7Y_0000197,Commodities,APAC,7Y,Utilities,Issuer-00839,Long
DRV-0000199,Rates_Financials_APAC_1M_0000198,Rates,APAC,1M,Financials,Issuer-00179,Front
DRV-0000200,Credit_Tech_US_1Y_0000199,Credit,US,1Y,Tech,Issuer-03113,Long
DRV-0000201,FX_Utilities_US_2Y_0000200,FX,US,2Y,Utilities,Issuer-01513,Belly
DRV-0000202,Rates_Industrials_US_1Y_0000201,Rates,US,1Y,Industrials,Issuer-04650,Long
DRV-0000203,Equities_Industrials_LATAM_30Y_0000202,Equities,LATAM,30Y,Industrials,Issuer-01683,Front
DRV-0000204,FX_Tech_EMEA_6M_0000203,FX,EMEA,6M,Tech,Issuer-00207,Long
DRV-0000205,Rates_Utilities_LATAM_5Y_0000204,Rates,LATAM,5Y,Utilities,Issuer-04566,Belly
DRV-0000206,Commodities_Utilities_LATAM_3Y_0000205,Commodities,LATAM,3Y,Utilities,Issuer-01616,Belly
DRV-0000207,Commodities_Financials_US_10Y_0000206,Commodities,US,10Y,Financials,Issuer-02737,Front
DRV-0000208,Volatility_Utilities_US_1M_0000207,Volatility,US,1M,Utilities,Issuer-02490,Belly
DRV-0000209,Credit_Tech_LATAM_7Y_0000208,Credit,LATAM,7Y,Tech,Issuer-00276,Belly
DRV-0000210,Rates_Industrials_US_3Y_0000209,Rates,US,3Y,Industrials,Issuer-00412,Long
DRV-0000211,Commodities_Healthcare_LATAM_2Y_0000210,Commodities,LATAM,2Y,Healthcare,Issuer-02935,Long
DRV-0000212,Commodities_Utilities_EMEA_3Y_0000211,Commodities,EMEA,3Y,Utilities,Issuer-00958,Belly
DRV-0000213,Equities_Tech_US_3Y_0000212,Equities,US,3Y,Tech,Issuer-04322,Front
DRV-0000214,FX_Healthcare_US_5Y_0000213,FX,US,5Y,Healthcare,Issuer-03897,Belly
DRV-0000215,Volatility_Healthcare_US_3Y_0000214,Volatility,US,3Y,Healthcare,Issuer-03620,Long
DRV-0000216,FX_Financials_EMEA_30Y_0000215,FX,EMEA,30Y,Financials,Issuer-01707,Front
DRV-0000217,Rates_Industrials_LATAM_3M_0000216,Rates,LATAM,3M,Industrials,Issuer-00799,Belly
DRV-0000218,Rates_Utilities_LATAM_7Y_0000217,Rates,LATAM,7Y,Utilities,Issuer-04609,Belly
DRV-0000219,Volatility_Utilities_EMEA_1Y_0000218,Volatility,EMEA,1Y,Utilities,Issuer-03602,Long
DRV-0000220,Rates_Utilities_EMEA_6M_0000219,Rates,EMEA,6M,Utilities,Issuer-01058,Long
DRV-0000221,FX_Utilities_US_1Y_0000220,FX,US,1Y,Utilities,Issuer-04332,Belly
DRV-0000222,Equities_Industrials_US_6M_0000221,Equities,US,6M,Industrials,Issuer-00877,Long
DRV-0000223,Commodities_Healthcare_LATAM_30Y_0000222,Commodities,LATAM,30Y,Healthcare,Issuer-04659,Long
DRV-0000224,Rates_Financials_APAC_5Y_0000223,Rates,APAC,5Y,Financials,Issuer-03678,Long
DRV-0000225,Equities_Financials_LATAM_20Y_0000224,Equities,LATAM,20Y,Financials,Issuer-04859,Long
DRV-0000226,Credit_Utilities_APAC_3Y_0000225,Credit,APAC,3Y,Utilities,Issuer-00235,Belly
DRV-0000227,Credit_Healthcare_APAC_3M_0000226,Credit,APAC,3M,Healthcare,Issuer-04934,Belly
DRV-0000228,Commodities_Industrials_US_6M_0000227,Commodities,US,6M,Industrials,Issuer-00696,Belly
DRV-0000229,Rates_Industrials_US_6M_0000228,Rates,US,6M,Industrials,Issuer-00213,Front
DRV-0000230,Equities_Tech_US_1M_0000229,Equities,US,1M,Tech,Issuer-01301,Long
DRV-0000231,Volatility_Utilities_EMEA_20Y_0000230,Volatility,EMEA,20Y,Utilities,Issuer-00401,Long
DRV-0000232,Credit_Utilities_US_7Y_0000231,Credit,US,7Y,Utilities,Issuer-00849,Front
DRV-0000233,Volatility_Energy_LATAM_3M_0000232,Volatility,LATAM,3M,Energy,Issuer-02166,Long
DRV-0000234,Volatility_Financials_APAC_20Y_0000233,Volatility,APAC,20Y,Financials,Issuer-01056,Long
DRV-0000235,Volatility_Tech_US_5Y_0000234,Volatility,US,5Y,Tech,Issuer-02456,Belly
DRV-0000236,Commodities_Industrials_EMEA_1M_0000235,Commodities,EMEA,1M,Industrials,Issuer-01563,Long
DRV-0000237,Credit_Tech_EMEA_3Y_0000236,Credit,EMEA,3Y,Tech,Issuer-01394,Long
DRV-0000238,FX_Tech_EMEA_30Y_0000237,FX,EMEA,30Y,Tech,Issuer-00581,Long
DRV-0000239,Equities_Healthcare_APAC_1Y_0000238,Equities,APAC,1Y,Healthcare,Issuer-01763,Front
DRV-0000240,Credit_Utilities_EMEA_6M_0000239,Credit,EMEA,6M,Utilities,Issuer-03447,Front
DRV-0000241,Commodities_Tech_LATAM_3M_0000240,Commodities,LATAM,3M,Tech,Issuer-00775,Front
DRV-0000242,Equities_Utilities_LATAM_7Y_0000241,Equities,LATAM,7Y,Utilities,Issuer-00871,Belly
DRV-0000243,Credit_Healthcare_LATAM_2Y_0000242,Credit,LATAM,2Y,Healthcare,Issuer-04802,Front
DRV-0000244,Rates_Tech_EMEA_5Y_0000243,Rates,EMEA,5Y,Tech,Issuer-02498,Belly
DRV-0000245,Credit_Industrials_LATAM_30Y_0000244,Credit,LATAM,30Y,Industrials,Issuer-00134,Belly
DRV-0000246,FX_Financials_EMEA_1M_0000245,FX,EMEA,1M,Financials,Issuer-04811,Belly
DRV-0000247,Equities_Energy_APAC_6M_0000246,Equities,APAC,6M,Energy,Issuer-02860,Long
