instrument_id,asset_class,sub_asset_class,desk,book,notional,direction,maturity,currency,geography
INS-000024,Volatility,Macro,Prime Finance,BOOK-059,10575646.14469924,-1,2033-01-14 09:48:00.258077,GBP,LATAM
INS-000025,Commodities,Flow,G10 FX,BOOK-041,12218352.365639867,-1,2027-09-21 09:48:00.258077,CHF,LATAM
INS-000026,Credit,Flow,XVA,BOOK-016,7456179.379294557,1,2029-03-07 09:48:00.258077,JPY,APAC
INS-000027,Equities,Macro,Equity Derivatives,BOOK-088,4268412.995005271,1,2027-03-16 09:48:00.258077,AUD,US
INS-000028,Commodities,Macro,XVA,BOOK-089,6451040.393372497,1,2027-01-23 09:48:00.258077,CAD,US
INS-000029,Credit,Macro,Commodities,BOOK-084,7528561.288403282,1,2028-10-18 09:48:00.258077,JPY,LATAM
INS-000030,Equities,Macro,Cross-Asset Vol,BOOK-037,4982404.439287227,-1,2031-01-17 09:48:00.258077,GBP,APAC
INS-000031,Equities,Flow,EM Credit,BOOK-026,11621436.807434667,1,2027-08-17 09:48:00.258077,CAD,US
INS-000032,FX,Macro,Securitized Products,BOOK-005,13098757.199109342,-1,2027-02-12 09:48:00.258077,USD,US
INS-000033,Rates,Macro,Cross-Asset Vol,BOOK-074,8695701.751825444,1,2034-11-21 09:48:00.258077,USD,US
INS-000034,Credit,Commod,EM Rates,BOOK-033,7472840.63325451,-1,2031-04-21 09:48:00.258077,USD,LATAM
INS-000035,Volatility,Macro,EM Credit,BOOK-090,4262582.553813919,-1,2033-04-15 09:48:00.258077,GBP,LATAM
INS-000036,Rates,Macro,EM FX,BOOK-087,11366084.740390128,1,2033-05-23 09:48:00.258077,JPY,LATAM
INS-000037,Volatility,Macro,Rates Exotics,BOOK-013,7690767.027122616,-1,2027-03-15 09:48:00.258077,GBP,US
INS-000038,Commodities,Macro,Structured Solutions,BOOK-092,6777089.003973469,-1,2032-05-05 09:48:00.258077,EUR,APAC
INS-000039,FX,Options,Municipal,BOOK-015,8702935.221686345,-1,2034-09-22 09:48:00.258077,GBP,LATAM
INS-000040,Credit,Commod,Securitized Products,BOOK-050,6035721.1775270365,1,2030-08-21 09:48:00.258077,JPY,APAC
INS-000041,Rates,Credit,Structured Solutions,BOOK-048,7867187.932804546,1,2034-09-27 09:48:00.258077,GBP,LATAM
INS-000042,Commodities,Options,Volatility Trading,BOOK-096,3893832.8728858503,-1,2035-07-28 09:48:00.258077,CHF,APAC
INS-000043,Commodities,Macro,EM Rates,BOOK-066,10217717.973131085,1,2031-08-12 09:48:00.258077,JPY,US
INS-000044,Equities,Credit,EM Credit,BOOK-088,7238972.397160817,-1,2027-03-16 09:48:00.258077,CNY,EMEA
INS-000045,Rates,Macro,Municipal,BOOK-060,10397002.15158503,-1,2032-04-25 09:48:00.258077,CNY,EMEA
INS-000046,Volatility,Credit,G10 FX,BOOK-083,6997159.5553959515,1,2034-12-01 09:48:00.258077,CAD,US
INS-000047,Equities,Options,EM Rates,BOOK-086,7159500.728040054,1,2031-12-09 09:48:00.258077,CHF,APAC
INS-000048,Volatility,Commod,HY Credit,BOOK-086,4469206.429270106,-1,2034-02-15 09:48:00.258077,USD,LATAM
INS-000049,Commodities,Flow,Municipal,BOOK-042,9399392.432545358,1,2031-07-02 09:48:00.258077,CHF,US
INS-000050,Commodities,Credit,Volatility Trading,BOOK-039,5310400.114942271,1,2030-05-10 09:48:00.258077,JPY,EMEA
INS-000051,Commodities,Options,XVA,BOOK-099,6283944.067001929,-1,2035-07-26 09:48:00.258077,GBP,APAC
INS-000052,FX,Options,Commodities,BOOK-076,7502617.965206342,1,2027-09-17 09:48:00.258077,AUD,EMEA
INS-000053,Equities,Commod,FX Options,BOOK-092,7803060.4592233915,1,2030-08-19 09:48:00.258077,USD,US
INS-000054,Equities,Credit,G10 FX,BOOK-058,3234757.6494556023,1,2027-09-28 09:48:00.258077,GBP,US
INS-000055,Equities,Options,Cross-Asset Vol,BOOK-093,6922985.3362799585,1,2032-09-07 09:48:00.258077,AUD,US
INS-000056,Rates,Options,G10 FX,BOOK-072,9488075.546609282,1,2035-05-01 09:48:00.258077,CNY,LATAM
INS-000057,Credit,Credit,HY Credit,BOOK-075,6554154.913690244,1,2036-01-31 09:48:00.258077,CHF,EMEA
INS-000058,Rates,Flow,Municipal,BOOK-018,6938170.614466696,-1,2028-07-06 09:48:00.258077,CHF,LATAM
INS-000059,Commodities,Macro,XVA,BOOK-057,7906015.1271068165,1,2033-05-28 09:48:00.258077,CNY,APAC
INS-000060,Commodities,Options,Volatility Trading,BOOK-074,7185098.918632503,-1,2034-11-10 09:48:00.258077,USD,EMEA
INS-000061,Volatility,Macro,Volatility Trading,BOOK-077,4923711.244030989,1,2034-06-17 09:48:00.258077,JPY,LATAM
INS-000062,Commodities,Macro,Rates Macro,BOOK-096,7409134.690832739,-1,2031-03-08 09:48:00.258077,EUR,EMEA
INS-000063,Equities,Options,XVA,BOOK-033,9985182.92501474,1,2027-12-04 09:48:00.258077,JPY,US
INS-000064,Volatility,Credit,Rates Macro,BOOK-031,4872060.131832274,-1,2030-10-09 09:48:00.258077,CNY,LATAM
INS-000065,Equities,Credit,Rates Macro,BOOK-097,6563795.276285455,1,2033-11-20 09:48:00.258077,CHF,APAC
INS-000066,FX,Flow,Commodities,BOOK-099,4045921.6901623067,-1,2032-05-02 09:48:00.258077,CNY,EMEA
INS-000067,Volatility,Options,Rates Macro,BOOK-018,9853454.876225863,-1,2030-01-16 09:48:00.258077,CHF,APAC
INS-000068,Equities,Macro,EM FX,BOOK-038,7269104.482905303,1,2028-04-29 09:48:00.258077,AUD,LATAM
INS-000069,Rates,Credit,EM Rates,BOOK-095,5374500.915985342,-1,2032-08-27 09:48:00.258077,EUR,EMEA
INS-000070,Equities,Flow,Prime Finance,BOOK-020,7730664.000357944,1,2030-06-10 09:48:00.258077,GBP,LATAM
INS-000071,Commodities,Credit,Cash Equities,BOOK-079,4490999.462761368,1,2030-11-15 09:48:00.258077,GBP,LATAM
INS-000072,FX,Commod,Municipal,BOOK-012,4916261.171348984,1,2035-07-01 09:48:00.258077,AUD,LATAM
INS-000073,Equities,Credit,EM Rates,BOOK-018,3849666.1753705484,-1,2026-04-15 09:48:00.258077,CHF,US
INS-000074,Rates,Flow,Equity Derivatives,BOOK-079,4833051.9061065,-1,2028-07-22 09:48:00.258077,EUR,US
INS-000075,Commodities,Commod,Prime Finance,BOOK-061,10893343.959999517,-1,2035-04-24 09:48:00.258077,EUR,US
INS-000076,Equities,Credit,EM Rates,BOOK-056,5667204.17179351,-1,2035-05-01 09:48:00.258077,JPY,APAC
INS-000077,FX,Credit,Municipal,BOOK-086,8665562.806628697,-1,2029-03-12 09:48:00.258077,EUR,EMEA
INS-000078,FX,Commod,G10 FX,BOOK-031,5409246.450110196,-1,2036-01-19 09:48:00.258077,CAD,LATAM
INS-000079,Credit,Commod,Equity Derivatives,BOOK-051,9398834.364408048,-1,2028-04-16 09:48:00.258077,AUD,US
INS-000080,Commodities,Macro,Cash Equities,BOOK-061,4934794.997671711,1,2026-09-16 09:48:00.258077,CNY,EMEA
INS-000081,Volatility,Commod,IG Credit,BOOK-074,7598069.819404392,-1,2029-03-28 09:48:00.258077,EUR,EMEA
INS-000082,Equities,Credit,EM Credit,BOOK-034,7632128.274672372,1,2031-06-18 09:48:00.258077,JPY,LATAM
INS-000083,Rates,Flow,Prime Finance,BOOK-064,13319513.34106648,1,2026-04-03 09:48:00.258077,CHF,US
INS-000084,Commodities,Flow,Structured Solutions,BOOK-045,9076063.219950413,-1,2027-11-24 09:48:00.258077,JPY,EMEA
INS-000085,Credit,Credit,Structured Solutions,BOOK-055,6017739.964176817,1,2034-01-13 09:48:00.258077,JPY,LATAM
INS-000086,Commodities,Flow,EM Credit,BOOK-087,9212622.409126285,1,2032-05-10 09:48:00.258077,EUR,LATAM
INS-000087,Rates,Options,Commodities,BOOK-040,12845436.17621302,-1,2032-03-12 09:48:00.258077,USD,LATAM
INS-000088,FX,Credit,Equity Derivatives,BOOK-067,3425909.7737892624,-1,2036-01-02 09:48:00.258077,JPY,APAC
INS-000089,Commodities,Credit,G10 FX,BOOK-095,5393794.893578183,1,2028-06-16 09:48:00.258077,USD,US
INS-000090,Commodities,Commod,IG Credit,BOOK-077,6907756.102216765,1,2035-01-31 09:48:00.258077,USD,US
INS-000091,Equities,Macro,FX Options,BOOK-099,6457279.432145122,1,2029-09-18 09:48:00.258077,CHF,EMEA
INS-000092,Commodities,Flow,Commodities,BOOK-059,6668108.254175313,1,2035-05-12 09:48:00.258077,AUD,EMEA
INS-000093,Volatility,Commod,Commodities,BOOK-029,4239419.336016892,1,2033-12-16 09:48:00.258077,CHF,APAC
INS-000094,Equities,Options,Volatility Trading,BOOK-100,11009890.133875031,-1,2028-04-23 09:48:00.258077,USD,US
INS-000095,Volatility,Flow,XVA,BOOK-065,3943478.503808452,1,2028-04-08 09:48:00.258077,AUD,APAC
INS-000096,FX,Flow,XVA,BOOK-025,6999467.975943753,-1,2031-07-28 09:48:00.258077,CAD,EMEA
INS-000097,FX,Flow,EM FX,BOOK-032,10114576.479401745,1,2031-03-06 09:48:00.258077,GBP,US
INS-000098,Commodities,Options,G10 FX,BOOK-027,7424537.8571353685,-1,2028-07-10 09:48:00.258077,GBP,LATAM
INS-000099,Credit,Flow,Equity Derivatives,BOOK-084,5051514.582743078,-1,2028-10-10 09:48:00.258077,CNY,EMEA
INS-000100,Rates,Credit,EM Credit,BOOK-010,4128310.8590651057,1,2035-02-09 09:48:00.258077,JPY,US
INS-000101,Commodities,Options,Commodities,BOOK-074,6925002.0099305445,-1,2033-08-31 09:48:00.258077,EUR,EMEA
INS-000102,FX,Credit,EM Credit,BOOK-056,5607426.085373834,1,2028-02-02 09:48:00.258077,GBP,LATAM
INS-000103,Commodities,Macro,FX Options,BOOK-008,8013077.729257445,-1,2033-05-20 09:48:00.258077,GBP,LATAM
INS-000104,Rates,Credit,Structured Solutions,BOOK-062,3996372.130689551,-1,2027-09-21 09:48:00.258077,JPY,US
INS-000105,Commodities,Commod,Cash Equities,BOOK-076,9532589.342219055,-1,2030-08-09 09:48:00.258077,GBP,APAC
INS-000106,Commodities,Macro,IG Credit,BOOK-073,7788873.807911161,-1,2026-04-26 09:48:00.258077,CHF,APAC
INS-000107,Commodities,Flow,G10 FX,BOOK-053,7974590.985881193,-1,2032-08-18 09:48:00.258077,GBP,LATAM
INS-000108,Credit,Credit,Volatility Trading,BOOK-034,11102691.945600042,1,2027-12-31 09:48:00.258077,CAD,LATAM
INS-000109,Equities,Credit,Cash Equities,BOOK-017,6405511.254070335,1,2028-07-14 09:48:00.258077,JPY,APAC
INS-000110,Commodities,Credit,Cash Equities,BOOK-002,5685458.26316694,-1,2028-01-28 09:48:00.258077,CNY,APAC
INS-000111,FX,Options,Rates Macro,BOOK-036,6130590.929132817,-1,2028-01-05 09:48:00.258077,AUD,EMEA
INS-000112,Commodities,Credit,Municipal,BOOK-064,7018683.576191856,1,2026-12-18 09:48:00.258077,GBP,LATAM
INS-000113,Credit,Credit,Cross-Asset Vol,BOOK-004,7272587.763021679,-1,2031-09-10 09:48:00.258077,USD,LATAM
INS-000114,Equities,Macro,Volatility Trading,BOOK-100,5423255.658495567,1,2034-10-18 09:48:00.258077,CHF,LATAM
INS-000115,Credit,Credit,Structured Solutions,BOOK-059,2442286.8674173527,1,2029-03-08 09:48:00.258077,GBP,LATAM
INS-000116,Credit,Options,Cross-Asset Vol,BOOK-030,6097677.497802405,-1,2033-12-04 09:48:00.258077,CNY,APAC
INS-000117,Rates,Macro,Volatility Trading,BOOK-097,8399564.165717224,-1,2031-08-01 09:48:00.258077,JPY,LATAM
INS-000118,Rates,Options,EM Rates,BOOK-019,7840645.76563373,-1,2028-09-19 09:48:00.258077,GBP,LATAM
INS-000119,FX,Options,Commodities,BOOK-096,10498886.174564566,-1,2026-10-22 09:48:00.258077,GBP,US
INS-000120,Rates,Macro,Volatility Trading,BOOK-029,12388716.359909471,1,2033-12-16 09:48:00.258077,AUD,US
INS-000121,Equities,Commod,Volatility Trading,BOOK-038,9398334.428646171,-1,2026-06-03 09:48:00.258077,USD,LATAM
INS-000122,Commodities,Flow,Prime Finance,BOOK-043,10956301.606020564,1,2030-05-19 09:48:00.258077,CNY,EMEA
INS-000123,Credit,Flow,EM Rates,BOOK-100,9416935.7306578,-1,2026-07-15 09:48:00.258077,EUR,LATAM
INS-000124,Equities,Options,Volatility Trading,BOOK-026,11774748.13981846,-1,2033-11-18 09:48:00.258077,AUD,EMEA
INS-000125,Volatility,Commod,Rates Exotics,BOOK-098,12127134.085728168,1,2036-01-03 09:48:00.258077,CHF,EMEA
INS-000126,Credit,Credit,Cross-Asset Vol,BOOK-035,9877912.926947316,-1,2029-05-25 09:48:00.258077,CHF,LATAM
INS-000127,Rates,Credit,EM Credit,BOOK-029,9265950.366061464,1,2029-04-21 09:48:00.258077,EUR,APAC
INS-000128,Commodities,Flow,EM FX,BOOK-064,6986919.570156582,-1,2031-10-17 09:48:00.258077,CAD,APAC
INS-000129,Credit,Commod,Cash Equities,BOOK-070,7396656.797590225,1,2031-03-04 09:48:00.258077,CAD,EMEA
INS-000130,Credit,Commod,XVA,BOOK-035,6655406.671624345,1,2029-12-23 09:48:00.258077,JPY,APAC
INS-000131,Credit,Options,IG Credit,BOOK-014,9053129.027237639,-1,2029-10-27 09:48:00.258077,JPY,EMEA
INS-000132,Credit,Options,Municipal,BOOK-040,5699129.906601629,-1,2028-01-21 09:48:00.258077,CHF,LATAM
INS-000133,Rates,Macro,Securitized Products,BOOK-055,7022234.475550225,1,2028-09-05 09:48:00.258077,JPY,EMEA
INS-000134,Credit,Credit,EM Credit,BOOK-005,1612075.2870542498,-1,2031-12-31 09:48:00.258077,CNY,US
INS-000135,Commodities,Commod,Rates Macro,BOOK-008,11807724.736931274,-1,2033-06-22 09:48:00.258077,USD,APAC
INS-000136,FX,Options,Volatility Trading,BOOK-092,6948813.543534204,-1,2033-08-21 09:48:00.258077,GBP,LATAM
INS-000137,Credit,Options,Structured Solutions,BOOK-004,8638951.093341442,-1,2031-04-25 09:48:00.258077,AUD,LATAM
INS-000138,Rates,Options,Municipal,BOOK-041,11144466.736778505,1,2033-08-29 09:48:00.258077,AUD,US
INS-000139,Equities,Macro,Equity Derivatives,BOOK-077,8250733.59360295,-1,2032-01-24 09:48:00.258077,GBP,LATAM
INS-000140,Equities,Credit,Cash Equities,BOOK-033,11110859.255233578,-1,2029-09-22 09:48:00.258077,CHF,EMEA
INS-000141,Volatility,Credit,EM FX,BOOK-050,4395655.469621583,-1,2029-09-12 09:48:00.258077,USD,LATAM
INS-000142,FX,Commod,Securitized Products,BOOK-009,13493441.473994255,-1,2031-05-03 09:48:00.258077,EUR,APAC
INS-000143,FX,Commod,XVA,BOOK-080,10217775.496221915,-1,2029-03-30 09:48:00.258077,CNY,LATAM
INS-000144,Equities,Options,G10 FX,BOOK-064,8023006.231216602,-1,2033-10-06 09:48:00.258077,CAD,EMEA
INS-000145,Volatility,Commod,Equity Derivatives,BOOK-086,11062698.331563614,-1,2028-01-12 09:48:00.258077,USD,APAC
INS-000146,Volatility,Options,Cash Equities,BOOK-087,4578412.78502657,-1,2026-09-26 09:48:00.258077,AUD,APAC
INS-000147,Rates,Credit,EM Credit,BOOK-036,6778462.803076265,-1,2031-01-23 09:48:00.258077,JPY,US
INS-000148,FX,Credit,Commodities,BOOK-005,11110625.991005948,-1,2026-11-28 09:48:00.258077,CHF,LATAM
INS-000149,Commodities,Commod,Cash Equities,BOOK-035,2832349.547762588,1,2028-02-04 09:48:00.258077,AUD,US
INS-000150,Rates,Credit,IG Credit,BOOK-015,8901144.437397012,1,2029-12-03 09:48:00.258077,AUD,LATAM
INS-000151,Volatility,Macro,EM Rates,BOOK-054,8830440.399612885,-1,2026-03-28 09:48:00.258077,EUR,US
INS-000152,FX,Macro,HY Credit,BOOK-015,12423064.542055406,1,2028-05-29 09:48:00.258077,GBP,US
INS-000153,Volatility,Options,G10 FX,BOOK-093,3542611.450694409,-1,2031-08-06 09:48:00.258077,GBP,EMEA
INS-000154,FX,Options,Municipal,BOOK-061,11524077.642579082,-1,2029-11-28 09:48:00.258077,CNY,US
INS-000155,Equities,Credit,Commodities,BOOK-026,6101323.142127743,1,2035-01-29 09:48:00.258077,AUD,US
INS-000156,Credit,Options,Equity Derivatives,BOOK-093,6382476.350220363,1,2027-02-15 09:48:00.258077,CAD,US
INS-000157,Rates,Options,Prime Finance,BOOK-077,4444989.032600517,1,2033-04-30 09:48:00.258077,USD,EMEA
INS-000158,Credit,Commod,Securitized Products,BOOK-044,4780369.9063326875,1,2032-01-24 09:48:00.258077,AUD,EMEA
INS-000159,Credit,Flow,G10 FX,BOOK-015,8508805.868634805,-1,2032-07-31 09:48:00.258077,CHF,US
INS-000160,Commodities,Options,Rates Exotics,BOOK-035,4719170.213046611,-1,2032-11-07 09:48:00.258077,GBP,US
INS-000161,Volatility,Options,Rates Macro,BOOK-059,9350710.83413229,1,2026-09-18 09:48:00.258077,JPY,APAC
INS-000162,Credit,Options,Securitized Products,BOOK-077,5842584.882575616,1,2034-01-16 09:48:00.258077,JPY,EMEA
INS-000163,Equities,Commod,EM Rates,BOOK-027,4467415.485378381,1,2029-06-24 09:48:00.258077,GBP,LATAM
INS-000164,Equities,Commod,Municipal,BOOK-075,6180477.134100264,-1,2032-08-22 09:48:00.258077,CNY,LATAM
INS-000165,Equities,Options,EM Rates,BOOK-029,8341767.979390765,-1,2029-02-09 09:48:00.258077,CNY,US
INS-000166,Commodities,Options,HY Credit,BOOK-025,6806616.845172452,1,2030-02-14 09:48:00.258077,USD,LATAM
INS-000167,FX,Options,EM Rates,BOOK-045,7585525.295831996,-1,2033-02-18 09:48:00.258077,CNY,APAC
INS-000168,FX,Macro,Prime Finance,BOOK-017,9240518.65459021,1,2035-06-18 09:48:00.258077,JPY,LATAM
INS-000169,Equities,Options,HY Credit,BOOK-041,10206053.629042372,-1,2034-11-24 09:48:00.258077,AUD,EMEA
INS-000170,Rates,Flow,Cross-Asset Vol,BOOK-036,6724761.728526423,1,2033-05-24 09:48:00.258077,AUD,US
INS-000171,Rates,Macro,Cross-Asset Vol,BOOK-029,4889444.961059604,-1,2031-07-14 09:48:00.258077,CHF,LATAM
INS-000172,Rates,Macro,Municipal,BOOK-078,7690236.19730629,-1,2031-06-05 09:48:00.258077,CAD,APAC
INS-000173,Commodities,Options,XVA,BOOK-034,8676623.96526018,1,2035-10-07 09:48:00.258077,CAD,US
INS-000174,Commodities,Macro,HY Credit,BOOK-070,3848186.735070124,-1,2028-03-30 09:48:00.258077,AUD,US
INS-000175,Commodities,Credit,G10 FX,BOOK-073,5273479.257481038,-1,2035-08-26 09:48:00.258077,JPY,US
INS-000176,Equities,Options,Volatility Trading,BOOK-067,5702032.760092648,1,2032-08-17 09:48:00.258077,CAD,EMEA
INS-000177,Commodities,Flow,Securitized Products,BOOK-027,6980444.528199059,1,2032-04-20 09:48:00.258077,CNY,EMEA
INS-000178,Rates,Credit,Securitized Products,BOOK-083,5597415.2409330355,1,2032-01-23 09:48:00.258077,CNY,EMEA
INS-000179,Volatility,Options,HY Credit,BOOK-024,9267601.812742248,-1,2034-04-01 09:48:00.258077,EUR,LATAM
INS-000180,Credit,Credit,Cash Equities,BOOK-028,3487166.9963539564,1,2032-12-19 09:48:00.258077,JPY,LATAM
INS-000181,Volatility,Credit,Commodities,BOOK-088,3550703.2570139384,1,2027-02-19 09:48:00.258077,CHF,APAC
INS-000182,Rates,Macro,Municipal,BOOK-034,6665277.971221344,-1,2033-12-08 09:48:00.258077,CHF,APAC
INS-000183,Equities,Flow,Rates Exotics,BOOK-070,7060867.989650358,-1,2033-06-02 09:48:00.258077,CAD,LATAM
INS-000184,Commodities,Options,IG Credit,BOOK-005,3863390.3178547407,-1,2035-04-07 09:48:00.258077,AUD,EMEA
INS-000185,Equities,Commod,Equity Derivatives,BOOK-062,5983127.893381088,1,2035-06-24 09:48:00.258077,CHF,APAC
INS-000186,Equities,Macro,Municipal,BOOK-087,6497390.456452277,-1,2035-08-08 09:48:00.258077,CAD,APAC
INS-000187,Rates,Macro,Commodities,BOOK-071,6516755.132444636,1,2026-08-14 09:48:00.258077,CNY,EMEA
INS-000188,Equities,Commod,Rates Exotics,BOOK-059,7879703.708223228,1,2032-06-10 09:48:00.258077,USD,LATAM
INS-000189,FX,Commod,Equity Derivatives,BOOK-085,5846052.788941096,-1,2035-06-16 09:48:00.258077,CAD,US
INS-000190,FX,Macro,Rates Macro,BOOK-030,11194590.750020683,-1,2035-10-08 09:48:00.258077,GBP,US
INS-000191,Commodities,Options,Volatility Trading,BOOK-038,8720511.59933393,-1,2031-08-22 09:48:00.258077,CNY,EMEA
INS-000192,Credit,Credit,XVA,BOOK-007,5482216.198396695,1,2035-03-25 09:48:00.258077,CHF,LATAM
INS-000193,Credit,Macro,Structured Solutions,BOOK-070,7736278.733418932,-1,2034-12-03 09:48:00.258077,CHF,EMEA
INS-000194,Equities,Flow,EM Credit,BOOK-073,7810038.296514013,1,2026-03-22 09:48:00.258077,AUD,US
INS-000195,Volatility,Flow,Securitized Products,BOOK-076,10536803.686244452,1,2034-12-19 09:48:00.258077,EUR,LATAM
INS-000196,Rates,Credit,EM Credit,BOOK-075,5999043.927709122,1,2032-07-07 09:48:00.258077,CHF,US
INS-000197,Equities,Flow,Cash Equities,BOOK-013,9418346.744301433,-1,2031-11-18 09:48:00.258077,AUD,US
INS-000198,Rates,Options,XVA,BOOK-067,7604636.189456194,1,2027-12-19 09:48:00.258077,AUD,LATAM
INS-000199,Equities,Flow,Equity Derivatives,BOOK-077,11228916.291121915,-1,2035-04-20 09:48:00.258077,EUR,EMEA
INS-000200,Volatility,Credit,Commodities,BOOK-021,10727228.63159852,1,2029-02-13 09:48:00.258077,AUD,US
INS-000201,Equities,Macro,FX Options,BOOK-048,7992448.261481501,-1,2030-05-03 09:48:00.258077,EUR,EMEA
INS-000202,Volatility,Flow,Cash Equities,BOOK-092,6844293.447459849,-1,2029-02-21 09:48:00.258077,GBP,APAC
INS-000203,Equities,Flow,Cash Equities,BOOK-042,8766514.77419864,-1,2035-10-22 09:48:00.258077,AUD,LATAM
INS-000204,Commodities,Commod,G10 FX,BOOK-076,7048874.932182085,1,2030-12-25 09:48:00.258077,CHF,US
INS-000205,Equities,Commod,Rates Macro,BOOK-054,11700767.764945837,1,2027-04-29 09:48:00.258077,CHF,EMEA
INS-000206,FX,Options,Volatility Trading,BOOK-066,7696175.19544253,-1,2026-04-21 09:48:00.258077,CHF,APAC
INS-000207,Commodities,Macro,XVA,BOOK-063,6485893.418717907,1,2035-11-29 09:48:00.258077,CNY,APAC
INS-000208,Volatility,Credit,Equity Derivatives,BOOK-066,6350962.284815186,-1,2028-07-13 09:48:00.258077,EUR,APAC
INS-000209,FX,Options,Commodities,BOOK-078,4467411.037003231,1,2033-11-01 09:48:00.258077,GBP,EMEA
INS-000210,Commodities,Commod,Cross-Asset Vol,BOOK-091,8891397.820233308,-1,2026-06-26 09:48:00.258077,JPY,LATAM
INS-000211,FX,Flow,Securitized Products,BOOK-030,5449971.993401243,1,2035-01-31 09:48:00.258077,AUD,US
INS-000212,Commodities,Commod,Rates Macro,BOOK-093,10245370.630469367,1,2032-08-23 09:48:00.258077,CHF,LATAM
INS-000213,Commodities,Commod,Volatility Trading,BOOK-063,4267662.364996067,1,2028-06-03 09:48:00.258077,CAD,LATAM
INS-000214,Equities,Flow,G10 FX,BOOK-060,7818103.622433126,-1,2035-01-04 09:48:00.258077,AUD,APAC
INS-000215,Commodities,Credit,Equity Derivatives,BOOK-033,10375559.396243634,-1,2029-02-23 09:48:00.258077,CNY,EMEA
INS-000216,FX,Flow,Equity Derivatives,BOOK-042,2119382.3384409095,1,2036-01-31 09:48:00.258077,JPY,EMEA
INS-000217,Rates,Flow,EM Rates,BOOK-066,12545663.859480465,1,2032-02-20 09:48:00.258077,JPY,EMEA
INS-000218,Rates,Flow,EM FX,BOOK-037,6436787.007004727,1,2030-08-22 09:48:00.258077,USD,US
INS-000219,Equities,Credit,Equity Derivatives,BOOK-029,7852738.455405348,-1,2026-10-10 09:48:00.258077,USD,US
INS-000220,Volatility,Flow,Equity Derivatives,BOOK-082,8928623.06379086,1,2028-10-09 09:48:00.258077,JPY,APAC
INS-000221,Rates,Credit,IG Credit,BOOK-042,9315322.640288884,1,2026-10-10 09:48:00.258077,CAD,APAC
INS-000222,Equities,Options,FX Options,BOOK-065,8184709.845649205,-1,2034-08-26 09:48:00.258077,AUD,EMEA
INS-000223,Commodities,Credit,HY Credit,BOOK-004,9993461.45926592,-1,2027-03-10 09:48:00.258077,JPY,EMEA
