driver_id,asset_class,level,as_of,source
DRV-0000037,Credit,91.52722117207861,2026-02-11 09:48:00.294055,Internal
DRV-0000038,Credit,81.46116391313164,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000039,Volatility,48.97601155071138,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000040,FX,108.42942109954285,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000041,Volatility,132.04136876628917,2026-02-11 09:48:00.294055,Internal
DRV-0000042,FX,91.28053453110765,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000043,Commodities,28.13704670152239,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000044,Volatility,78.29707639764071,2026-02-08 09:48:00.294055,Internal
DRV-0000045,Credit,128.675880795851,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000046,Rates,2.1353359047686955,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000047,Commodities,108.72499551911332,2026-02-11 09:48:00.294055,Internal
DRV-0000048,Credit,91.30546290134352,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000049,Volatility,202.5576183829404,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000050,FX,113.44752172504924,2026-02-09 09:48:00.294055,Internal
DRV-0000051,FX,133.16149097828045,2026-02-11 09:48:00.294055,Internal
DRV-0000052,FX,117.00353744502237,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000053,Volatility,48.22819848198325,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000054,Volatility,137.63425138346395,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000055,Volatility,95.71661523579641,2026-02-10 09:48:00.294055,Internal
DRV-0000056,FX,19.027951073954867,2026-02-11 09:48:00.294055,Internal
DRV-0000057,Commodities,97.25802125046994,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000058,Commodities,88.93972641308572,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000059,FX,107.67746880264237,2026-02-10 09:48:00.294055,Internal
DRV-0000060,Commodities,53.559642141385524,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000061,Credit,96.78729721664578,2026-02-10 09:48:00.294055,Internal
DRV-0000062,FX,18.433158582143744,2026-02-11 09:48:00.294055,Internal
DRV-0000063,Equities,103.41080004064521,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000064,Rates,2.489611874063977,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000065,Equities,53.8794536368874,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000066,Commodities,133.29775845467637,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000067,Credit,-10.398560654608094,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000068,Equities,81.36955783313921,2026-02-11 09:48:00.294055,Internal
DRV-0000069,Volatility,151.31933684743038,2026-02-10 09:48:00.294055,Internal
DRV-0000070,FX,107.08928811792087,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000071,FX,160.95025437952083,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000072,FX,72.7673469528814,2026-02-10 09:48:00.294055,Internal
DRV-0000073,Equities,37.48747395095716,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000074,Volatility,76.53145995921574,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000075,Credit,18.615920844582433,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000076,Credit,133.04811539276162,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000077,Volatility,72.43477670726342,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000078,Credit,130.30488480004686,2026-02-11 09:48:00.294055,Internal
DRV-0000079,Credit,34.57453798335214,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000080,Rates,3.523516960876263,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000081,FX,95.59112593475261,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000082,Volatility,199.3892705693882,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000083,Commodities,200.52741213689876,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000084,FX,91.9415733306592,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000085,Credit,74.66526152318022,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000086,Commodities,108.53766916535473,2026-02-10 09:48:00.294055,Internal
DRV-0000087,Rates,0.7321912005962363,2026-02-11 09:48:00.294055,Internal
DRV-0000088,Volatility,60.24425377844034,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000089,FX,105.10419471973174,2026-02-11 09:48:00.294055,Internal
DRV-0000090,FX,53.63083139425636,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000091,Volatility,141.01304777636213,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000092,Volatility,78.8371418708679,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000093,FX,106.19785621083989,2026-02-11 09:48:00.294055,Internal
DRV-0000094,Volatility,116.95677228499383,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000095,Credit,61.09969307166108,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000096,Credit,104.48646524910933,2026-02-11 09:48:00.294055,Internal
DRV-0000097,Equities,108.0806748636758,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000098,Commodities,104.12324418859819,2026-02-09 09:48:00.294055,Internal
DRV-0000099,Credit,95.48317184285699,2026-02-08 09:48:00.294055,Internal
DRV-0000100,FX,64.16662279587695,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000101,Rates,4.3477073067449155,2026-02-08 09:48:00.294055,Bloomberg
DRV-0000102,Commodities,134.5350745925916,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000103,Equities,129.50686125927464,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000104,Equities,20.760046895290234,2026-02-11 09:48:00.294055,Internal
DRV-0000105,Volatility,144.73457426590045,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000106,FX,137.13041207109066,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000107,Rates,2.7895318374016527,2026-02-08 09:48:00.294055,Bloomberg
DRV-0000108,Commodities,101.0584226980522,2026-02-11 09:48:00.294055,Internal
DRV-0000109,Commodities,68.18463411499879,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000110,Equities,63.63754461112505,2026-02-09 09:48:00.294055,Internal
DRV-0000111,Volatility,105.62556018165554,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000112,Commodities,98.27693797110034,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000113,FX,126.91733681777912,2026-02-11 09:48:00.294055,Internal
DRV-0000114,Volatility,79.81767413317985,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000115,Credit,109.25238826448076,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000116,FX,92.16047149285792,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000117,Commodities,177.6619974850495,2026-02-11 09:48:00.294055,Internal
DRV-0000118,FX,134.41346199711427,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000119,Equities,129.97130497974132,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000120,FX,86.4792462293447,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000121,FX,42.88612371023625,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000122,Equities,134.33325204718892,2026-02-11 09:48:00.294055,Internal
DRV-0000123,Volatility,32.474344195995876,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000124,Commodities,65.5757526886589,2026-02-11 09:48:00.294055,Internal
DRV-0000125,Credit,105.0363136101737,2026-02-11 09:48:00.294055,Internal
DRV-0000126,Equities,147.9769228731644,2026-02-09 09:48:00.294055,Internal
DRV-0000127,Credit,108.84960932328916,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000128,Commodities,79.78044626388879,2026-02-11 09:48:00.294055,Internal
DRV-0000129,FX,66.98172043975104,2026-02-08 09:48:00.294055,Refinitiv
DRV-0000130,Volatility,62.585721619477916,2026-02-10 09:48:00.294055,Internal
DRV-0000131,Rates,1.8296796001649864,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000132,FX,120.48912565828562,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000133,Equities,112.48012090098604,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000134,Commodities,98.98994249366459,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000135,Rates,2.4168004350819303,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000136,Equities,86.41745532245979,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000137,Volatility,75.64421213888613,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000138,Equities,151.86239252380145,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000139,Volatility,107.04450373625707,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000140,Credit,150.14115457692753,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000141,Commodities,157.0171821015044,2026-02-11 09:48:00.294055,Internal
DRV-0000142,Rates,0.03336915943949004,2026-02-10 09:48:00.294055,Internal
DRV-0000143,Equities,92.92823034945758,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000144,FX,121.47025338059174,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000145,Equities,93.37504282388365,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000146,FX,134.5818892082585,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000147,Equities,105.14357794135874,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000148,Credit,126.08606344689721,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000149,Equities,122.33492759977476,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000150,FX,128.1724927366636,2026-02-08 09:48:00.294055,Internal
DRV-0000151,FX,119.53435479269841,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000152,Rates,2.579628686691723,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000153,Rates,2.2334956768517866,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000154,Rates,3.9387117632945685,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000155,FX,106.21036478696799,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000156,Commodities,74.96423146775277,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000157,Volatility,113.63463664488528,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000158,Commodities,65.42845795732367,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000159,FX,82.63631427521247,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000160,Volatility,126.938954789302,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000161,Rates,2.8361017392594263,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000162,Commodities,83.09198170334255,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000163,Rates,1.969222255401259,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000164,Rates,3.1138737254815245,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000165,Equities,136.42079662343863,2026-02-08 09:48:00.294055,Internal
DRV-0000166,Commodities,75.3930541882443,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000167,Credit,108.57100524386014,2026-02-10 09:48:00.294055,Internal
DRV-0000168,Credit,53.770676677931284,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000169,Rates,2.430568012554155,2026-02-11 09:48:00.294055,Internal
DRV-0000170,Volatility,114.64993185878039,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000171,Volatility,66.20692996672945,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000172,FX,62.39703372011315,2026-02-09 09:48:00.294055,Internal
DRV-0000173,Commodities,64.65558571411721,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000174,Rates,3.394572063231373,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000175,FX,123.41287664257261,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000176,Commodities,157.04199404235405,2026-02-11 09:48:00.294055,Internal
DRV-0000177,Commodities,77.15637692259618,2026-02-08 09:48:00.294055,Internal
DRV-0000178,Equities,134.63897344780935,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000179,Equities,151.69598755141453,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000180,Equities,141.33007353336936,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000181,Commodities,47.865372278156514,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000182,Commodities,98.9609167079833,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000183,Credit,154.36264718405405,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000184,FX,41.49081455941769,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000185,Rates,3.718108432963486,2026-02-09 09:48:00.294055,Internal
DRV-0000186,Equities,118.49095984017805,2026-02-11 09:48:00.294055,Internal
DRV-0000187,Credit,32.10651251930275,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000188,Commodities,50.831595521069936,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000189,Credit,41.52848770131792,2026-02-09 09:48:00.294055,Internal
DRV-0000190,Credit,147.7361256888243,2026-02-09 09:48:00.294055,Internal
DRV-0000191,FX,64.65701190966945,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000192,Volatility,63.92817564339795,2026-02-09 09:48:00.294055,Internal
DRV-0000193,FX,137.9896863791958,2026-02-11 09:48:00.294055,Internal
DRV-0000194,Volatility,68.4394438053281,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000195,Commodities,116.289583320216,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000196,FX,106.93908683910384,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000197,Credit,122.78649666115136,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000198,Commodities,88.32267118847503,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000199,Rates,1.2296982409400605,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000200,Credit,143.53437157978846,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000201,FX,130.18848534914008,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000202,Rates,3.2900036222259983,2026-02-10 09:48:00.294055,Internal
DRV-0000203,Equities,76.60981812993705,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000204,FX,95.87470876758846,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000205,Rates,1.4100157179211157,2026-02-11 09:48:00.294055,Internal
DRV-0000206,Commodities,97.41222029754442,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000207,Commodities,87.52940266367457,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000208,Volatility,83.75397943709869,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000209,Credit,62.648110705849355,2026-02-11 09:48:00.294055,Internal
DRV-0000210,Rates,3.544969222936432,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000211,Commodities,146.49250242181682,2026-02-11 09:48:00.294055,Internal
DRV-0000212,Commodities,80.44376073166922,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000213,Equities,90.10545628663901,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000214,FX,138.7618114068333,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000215,Volatility,113.0820320539147,2026-02-10 09:48:00.294055,Internal
DRV-0000216,FX,18.05816782065787,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000217,Rates,3.117039199625424,2026-02-11 09:48:00.294055,Internal
DRV-0000218,Rates,2.652504675218685,2026-02-11 09:48:00.294055,Internal
DRV-0000219,Volatility,120.37752504030489,2026-02-11 09:48:00.294055,Internal
DRV-0000220,Rates,2.7841593528308404,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000221,FX,53.1268248840991,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000222,Equities,140.92957301656583,2026-02-08 09:48:00.294055,Refinitiv
DRV-0000223,Commodities,119.20634980418498,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000224,Rates,3.0763223157951356,2026-02-08 09:48:00.294055,Refinitiv
DRV-0000225,Equities,148.99147081150167,2026-02-09 09:48:00.294055,Internal
DRV-0000226,Credit,87.41352604137079,2026-02-08 09:48:00.294055,Internal
DRV-0000227,Credit,130.6242763490167,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000228,Commodities,119.1768473719126,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000229,Rates,2.2305665829500616,2026-02-10 09:48:00.294055,Internal
DRV-0000230,Equities,144.6925346280075,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000231,Volatility,79.2075867222406,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000232,Credit,117.31971794759643,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000233,Volatility,84.64507920018697,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000234,Volatility,116.36405523012088,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000235,Volatility,74.67471116547419,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000236,Commodities,89.80623833277016,2026-02-09 09:48:00.294055,Internal
DRV-0000237,Credit,42.115022386136694,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000238,FX,135.4858880579689,2026-02-11 09:48:00.294055,Internal
DRV-0000239,Equities,123.02507062552543,2026-02-11 09:48:00.294055,Internal
DRV-0000240,Credit,120.43551990844395,2026-02-10 09:48:00.294055,Internal
DRV-0000241,Commodities,123.83219185292485,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000242,Equities,95.10523404246877,2026-02-11 09:48:00.294055,Internal
DRV-0000243,Credit,84.99556146675937,2026-02-11 09:48:00.294055,Internal
DRV-0000244,Rates,2.2407493975614794,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000245,Credit,95.15499035290784,2026-02-11 09:48:00.294055,Internal
DRV-0000246,FX,77.76189149050619,2026-02-11 09:48:00.294055,Internal
DRV-0000247,Equities,82.9159086584798,2026-02-11 09:48:00.294055,Internal
DRV-0000248,Rates,2.822488380573759,2026-02-11 09:48:00.294055,Internal
DRV-0000249,Credit,119.3401682173608,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000250,FX,109.29432637373881,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000251,Commodities,49.393346615595874,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000252,Volatility,92.6842285710506,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000253,Rates,2.8462724347474984,2026-02-11 09:48:00.294055,Internal
DRV-0000254,Volatility,103.15443891293961,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000255,FX,32.01136568303977,2026-02-08 09:48:00.294055,Bloomberg
DRV-0000256,Commodities,58.56757792709378,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000257,Commodities,21.670990663027204,2026-02-09 09:48:00.294055,Internal
DRV-0000258,Volatility,113.8366978696513,2026-02-10 09:48:00.294055,Internal
DRV-0000259,Credit,142.2800775995938,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000260,Volatility,107.75836098470842,2026-02-11 09:48:00.294055,Internal
DRV-0000261,Rates,0.35322641216812967,2026-02-09 09:48:00.294055,Bloomberg
DRV-0000262,FX,120.22705576117016,2026-02-11 09:48:00.294055,Internal
DRV-0000263,Rates,2.6579165460375944,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000264,Credit,53.123491600048766,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000265,Rates,2.4728504876099517,2026-02-11 09:48:00.294055,Internal
DRV-0000266,Equities,137.49015671526172,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000267,FX,89.5499310805149,2026-02-10 09:48:00.294055,Internal
DRV-0000268,FX,87.76663111245747,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000269,Commodities,120.68156807445644,2026-02-11 09:48:00.294055,Internal
DRV-0000270,Rates,1.224147833126877,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000271,Credit,88.15603706160792,2026-02-11 09:48:00.294055,Internal
DRV-0000272,Volatility,71.23689033808814,2026-02-11 09:48:00.294055,Internal
DRV-0000273,Volatility,120.19310667713513,2026-02-11 09:48:00.294055,Internal
DRV-0000274,Credit,142.67308319793682,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000275,Volatility,100.3524647004301,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000276,Commodities,137.63128227738986,2026-02-10 09:48:00.294055,Internal
DRV-0000277,Commodities,110.9463941107614,2026-02-11 09:48:00.294055,Internal
DRV-0000278,Volatility,77.51374178272201,2026-02-11 09:48:00.294055,Internal
DRV-0000279,Credit,98.43013338573364,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000280,FX,141.39892011162397,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000281,Commodities,93.05089002171843,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000282,Volatility,76.50166244812169,2026-02-09 09:48:00.294055,Internal
DRV-0000283,Equities,45.74224878835047,2026-02-11 09:48:00.294055,Internal
DRV-0000284,Equities,154.99319846843224,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000285,Equities,85.2453746606259,2026-02-11 09:48:00.294055,Internal
DRV-0000286,Equities,71.2153569902815,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000287,FX,95.87887816987484,2026-02-11 09:48:00.294055,Internal
DRV-0000288,Volatility,85.36093470050648,2026-02-11 09:48:00.294055,Internal
DRV-0000289,Equities,120.39800619538248,2026-02-10 09:48:00.294055,Internal
DRV-0000290,FX,150.69976518776252,2026-02-11 09:48:00.294055,Internal
DRV-0000291,Credit,156.56554012972572,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000292,Volatility,75.2190156441412,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000293,FX,126.62296604111741,2026-02-11 09:48:00.294055,Internal
DRV-0000294,Rates,3.352316410255097,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000295,Commodities,123.9787173515883,2026-02-11 09:48:00.294055,Internal
DRV-0000296,Credit,93.68833824540272,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000297,Equities,70.75699578870852,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000298,Credit,123.5561573741131,2026-02-11 09:48:00.294055,Internal
DRV-0000299,Volatility,89.54521066724688,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000300,FX,128.91653893592735,2026-02-11 09:48:00.294055,Internal
DRV-0000301,Equities,120.76172780401282,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000302,Credit,102.49665719869853,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000303,Equities,31.30612655582721,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000304,Volatility,124.95108468764788,2026-02-11 09:48:00.294055,Internal
DRV-0000305,Rates,2.4726192936021736,2026-02-11 09:48:00.294055,Internal
DRV-0000306,Equities,76.45394961710691,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000307,Commodities,135.2170685913852,2026-02-11 09:48:00.294055,Internal
DRV-0000308,Rates,1.9345262978609683,2026-02-11 09:48:00.294055,Internal
DRV-0000309,Commodities,58.01674103170196,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000310,Equities,86.42971497570718,2026-02-11 09:48:00.294055,Internal
DRV-0000311,Equities,84.21918348360173,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000312,Rates,3.6344272246165823,2026-02-10 09:48:00.294055,Internal
DRV-0000313,FX,46.55168701889216,2026-02-11 09:48:00.294055,Bloomberg
DRV-0000314,Credit,110.68529494786651,2026-02-08 09:48:00.294055,Refinitiv
DRV-0000315,Rates,3.0852715751466464,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000316,Commodities,109.08233963864707,2026-02-09 09:48:00.294055,Refinitiv
DRV-0000317,Credit,44.33775660998963,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000318,Rates,1.9294386378922033,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000319,Commodities,117.03565870974538,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000320,Commodities,50.08971151244066,2026-02-09 09:48:00.294055,Internal
DRV-0000321,FX,112.906398758353,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000322,Commodities,103.41914057102844,2026-02-10 09:48:00.294055,Internal
DRV-0000323,Rates,1.8645638916731084,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000324,Equities,88.71830763656838,2026-02-11 09:48:00.294055,Internal
DRV-0000325,Credit,160.80940288178536,2026-02-10 09:48:00.294055,Internal
DRV-0000326,Rates,2.73067538157437,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000327,Credit,34.585582481766686,2026-02-10 09:48:00.294055,Bloomberg
DRV-0000328,FX,134.20837005811765,2026-02-11 09:48:00.294055,Refinitiv
DRV-0000329,Rates,3.3143776661824926,2026-02-10 09:48:00.294055,Refinitiv
DRV-0000330,Equities,124.32966558199179,2026-02-11 09:48:00.294055,Refinitiv
